collection	size	text	tokens
oldbooks	5k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
oldbooks	5k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
oldbooks	5k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
oldbooks	5k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
oldbooks	5k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
oldbooks	5k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
oldbooks	5k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
oldbooks	5k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
oldbooks	5k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
oldbooks	5k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
oldbooks	10k	ev	[e, ##v]
oldbooks	10k	evim	[e, ##v, ##i, ##m]
oldbooks	10k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	10k	evde	[e, ##v, ##d, ##e]
oldbooks	10k	evden	[e, ##v, ##d, ##e, ##n]
oldbooks	10k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
oldbooks	10k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
oldbooks	10k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	10k	okudu	[o, ##k, ##u, ##d, ##u]
oldbooks	10k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
oldbooks	10k	okuma	[o, ##k, ##u, ##m, ##a]
oldbooks	10k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	10k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
oldbooks	10k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
oldbooks	10k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
oldbooks	10k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	10k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
oldbooks	10k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
oldbooks	10k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
oldbooks	10k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
oldbooks	10k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
oldbooks	10k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
oldbooks	10k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
oldbooks	10k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
oldbooks	10k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
oldbooks	10k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
oldbooks	10k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
oldbooks	10k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
oldbooks	10k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
oldbooks	10k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
oldbooks	10k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
oldbooks	10k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
oldbooks	10k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
oldbooks	10k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
oldbooks	10k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
oldbooks	10k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
oldbooks	20k	ev	[e, ##v]
oldbooks	20k	evim	[e, ##v, ##i, ##m]
oldbooks	20k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	20k	evde	[e, ##v, ##d, ##e]
oldbooks	20k	evden	[e, ##v, ##d, ##e, ##n]
oldbooks	20k	evdeki	[e, ##v, ##d, ##e, ##k, ##i]
oldbooks	20k	evdekiler	[e, ##v, ##d, ##e, ##k, ##i, ##l, ##e, ##r]
oldbooks	20k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	20k	okudu	[o, ##k, ##u, ##d, ##u]
oldbooks	20k	okumak	[o, ##k, ##u, ##m, ##a, ##k]
oldbooks	20k	okuma	[o, ##k, ##u, ##m, ##a]
oldbooks	20k	okudum	[o, ##k, ##u, ##d, ##u, ##m]
oldbooks	20k	okudular	[o, ##k, ##u, ##d, ##u, ##l, ##a, ##r]
oldbooks	20k	okuduklarımız	[o, ##k, ##u, ##d, ##u, ##k, ##l, ##a, ##r, ##ı, ##m, ##ı, ##z]
oldbooks	20k	okumadım	[o, ##k, ##u, ##m, ##a, ##d, ##ı, ##m]
oldbooks	20k	evlerimiz	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z]
oldbooks	20k	evimiz	[e, ##v, ##i, ##m, ##i, ##z]
oldbooks	20k	evimizdeki	[e, ##v, ##i, ##m, ##i, ##z, ##d, ##e, ##k, ##i]
oldbooks	20k	evleriniz	[e, ##v, ##l, ##e, ##r, ##i, ##n, ##i, ##z]
oldbooks	20k	evlerimizden	[e, ##v, ##l, ##e, ##r, ##i, ##m, ##i, ##z, ##d, ##e, ##n]
oldbooks	20k	kitapçılardan	[k, ##i, ##t, ##a, ##p, ##ç, ##ı, ##l, ##a, ##r, ##d, ##a, ##n]
oldbooks	20k	gelmeyeceksiniz	[g, ##e, ##l, ##m, ##e, ##y, ##e, ##c, ##e, ##k, ##s, ##i, ##n, ##i, ##z]
oldbooks	20k	yazdırılmayacakmışsınız	[y, ##a, ##z, ##d, ##ı, ##r, ##ı, ##l, ##m, ##a, ##y, ##a, ##c, ##a, ##k, ##m, ##ı, ##ş, ##s, ##ı, ##n, ##ı, ##z]
oldbooks	20k	demokrasileştirmenin	[d, ##e, ##m, ##o, ##k, ##r, ##a, ##s, ##i, ##l, ##e, ##ş, ##t, ##i, ##r, ##m, ##e, ##n, ##i, ##n]
oldbooks	20k	Ankara’dan	[A, ##n, ##k, ##a, ##r, ##a, [UNK], d, ##a, ##n]
oldbooks	20k	İstanbul'uyla	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', u, ##y, ##l, ##a]
oldbooks	20k	İstanbul'a	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', a]
oldbooks	20k	İstanbul'da	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a]
oldbooks	20k	İstanbul'dan	[İ, ##s, ##t, ##a, ##n, ##b, ##u, ##l, ', d, ##a, ##n]
oldbooks	20k	görülebilirdi	[g, ##ö, ##r, ##ü, ##l, ##e, ##b, ##i, ##l, ##i, ##r, ##d, ##i]
oldbooks	20k	çalıştırılabilir	[ç, ##a, ##l, ##ı, ##ş, ##t, ##ı, ##r, ##ı, ##l, ##a, ##b, ##i, ##l, ##i, ##r]
oldbooks	20k	kapkara	[k, ##a, ##p, ##k, ##a, ##r, ##a]
oldbooks	20k	Ankara'ya	[A, ##n, ##k, ##a, ##r, ##a, ', y, ##a]
oldbooks	20k	Ankara'dan	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a, ##n]
oldbooks	20k	Ankara'da	[A, ##n, ##k, ##a, ##r, ##a, ', d, ##a]
oldbooks	20k	1923'te	[1, ##9, ##2, ##3, ', t, ##e]
oldbooks	32k	ev	[ev]
oldbooks	32k	evim	[ev, ##im]
oldbooks	32k	evlerimiz	[ev, ##lerimiz]
oldbooks	32k	evde	[evde]
oldbooks	32k	evden	[evde, ##n]
oldbooks	32k	evdeki	[evde, ##ki]
oldbooks	32k	evdekiler	[evde, ##kiler]
oldbooks	32k	okudum	[oku, ##dum]
oldbooks	32k	okudu	[oku, ##du]
oldbooks	32k	okumak	[okuma, ##k]
oldbooks	32k	okuma	[okuma]
oldbooks	32k	okudum	[oku, ##dum]
oldbooks	32k	okudular	[oku, ##dular]
oldbooks	32k	okuduklarımız	[oku, ##dukları, ##mız]
oldbooks	32k	okumadım	[okuma, ##dım]
oldbooks	32k	evlerimiz	[ev, ##lerimiz]
oldbooks	32k	evimiz	[ev, ##imiz]
oldbooks	32k	evimizdeki	[ev, ##imizde, ##ki]
oldbooks	32k	evleriniz	[ev, ##leriniz]
oldbooks	32k	evlerimizden	[ev, ##lerimiz, ##den]
oldbooks	32k	kitapçılardan	[kitap, ##çı, ##lardan]
oldbooks	32k	gelmeyeceksiniz	[gel, ##meyecek, ##siniz]
oldbooks	32k	yazdırılmayacakmışsınız	[yaz, ##dır, ##ılma, ##yacak, ##mış, ##sınız]
oldbooks	32k	demokrasileştirmenin	[demokra, ##sil, ##eş, ##tir, ##menin]
oldbooks	32k	Ankara’dan	[Ankara, [UNK], dan]
oldbooks	32k	İstanbul'uyla	[İstanbul, ', uy, ##la]
oldbooks	32k	İstanbul'a	[İstanbul, ', a]
oldbooks	32k	İstanbul'da	[İstanbul, ', da]
oldbooks	32k	İstanbul'dan	[İstanbul, ', dan]
oldbooks	32k	görülebilirdi	[görül, ##ebilir, ##di]
oldbooks	32k	çalıştırılabilir	[çalıştı, ##rı, ##labilir]
oldbooks	32k	kapkara	[kap, ##kara]
oldbooks	32k	Ankara'ya	[Ankara, ', ya]
oldbooks	32k	Ankara'dan	[Ankara, ', dan]
oldbooks	32k	Ankara'da	[Ankara, ', da]
oldbooks	32k	1923'te	[192, ##3, ', te]
oldbooks	52k	ev	[ev]
oldbooks	52k	evim	[evi, ##m]
oldbooks	52k	evlerimiz	[evleri, ##mi, ##z]
oldbooks	52k	evde	[evde]
oldbooks	52k	evden	[evden]
oldbooks	52k	evdeki	[evdeki]
oldbooks	52k	evdekiler	[evdeki, ##ler]
oldbooks	52k	okudum	[okudum]
oldbooks	52k	okudu	[okudu]
oldbooks	52k	okumak	[okumak]
oldbooks	52k	okuma	[okuma]
oldbooks	52k	okudum	[okudum]
oldbooks	52k	okudular	[okudu, ##lar]
oldbooks	52k	okuduklarımız	[okudu, ##k, ##larımız]
oldbooks	52k	okumadım	[okuma, ##dım]
oldbooks	52k	evlerimiz	[evleri, ##mi, ##z]
oldbooks	52k	evimiz	[evi, ##mi, ##z]
oldbooks	52k	evimizdeki	[evi, ##mi, ##z, ##deki]
oldbooks	52k	evleriniz	[evlerini, ##z]
oldbooks	52k	evlerimizden	[evleri, ##mi, ##z, ##den]
oldbooks	52k	kitapçılardan	[kitapçı, ##lardan]
oldbooks	52k	gelmeyeceksiniz	[gelmeyecek, ##siniz]
oldbooks	52k	yazdırılmayacakmışsınız	[yazdır, ##ılmaya, ##cak, ##mış, ##sınız]
oldbooks	52k	demokrasileştirmenin	[demokrasi, ##leştirme, ##nin]
oldbooks	52k	Ankara’dan	[Ankara, [UNK], dan]
oldbooks	52k	İstanbul'uyla	[İstanbul, ', uy, ##la]
oldbooks	52k	İstanbul'a	[İstanbul, ', a]
oldbooks	52k	İstanbul'da	[İstanbul, ', da]
oldbooks	52k	İstanbul'dan	[İstanbul, ', dan]
oldbooks	52k	görülebilirdi	[görülebilir, ##di]
oldbooks	52k	çalıştırılabilir	[çalıştır, ##ılabilir]
oldbooks	52k	kapkara	[kapkara]
oldbooks	52k	Ankara'ya	[Ankara, ', ya]
oldbooks	52k	Ankara'dan	[Ankara, ', dan]
oldbooks	52k	Ankara'da	[Ankara, ', da]
oldbooks	52k	1923'te	[1923, ', te]
oldbooks	128k	ev	[ev]
oldbooks	128k	evim	[evim]
oldbooks	128k	evlerimiz	[evleri, ##miz]
oldbooks	128k	evde	[evde]
oldbooks	128k	evden	[evden]
oldbooks	128k	evdeki	[evdeki]
oldbooks	128k	evdekiler	[evdeki, ##ler]
oldbooks	128k	okudum	[okudum]
oldbooks	128k	okudu	[okudu]
oldbooks	128k	okumak	[okumak]
oldbooks	128k	okuma	[okuma]
oldbooks	128k	okudum	[okudum]
oldbooks	128k	okudular	[okudular]
oldbooks	128k	okuduklarımız	[okudukları, ##mız]
oldbooks	128k	okumadım	[okumadım]
oldbooks	128k	evlerimiz	[evleri, ##miz]
oldbooks	128k	evimiz	[evimiz]
oldbooks	128k	evimizdeki	[evimizde, ##ki]
oldbooks	128k	evleriniz	[evlerini, ##z]
oldbooks	128k	evlerimizden	[evleri, ##miz, ##den]
oldbooks	128k	kitapçılardan	[kitapçı, ##lardan]
oldbooks	128k	gelmeyeceksiniz	[gelmeyecek, ##siniz]
oldbooks	128k	yazdırılmayacakmışsınız	[yazdır, ##ılmayacak, ##mışsınız]
oldbooks	128k	demokrasileştirmenin	[demokrasi, ##leştirmenin]
oldbooks	128k	Ankara’dan	[Ankara, [UNK], dan]
oldbooks	128k	İstanbul'uyla	[İstanbul, ', uyla]
oldbooks	128k	İstanbul'a	[İstanbul, ', a]
oldbooks	128k	İstanbul'da	[İstanbul, ', da]
oldbooks	128k	İstanbul'dan	[İstanbul, ', dan]
oldbooks	128k	görülebilirdi	[görülebilirdi]
oldbooks	128k	çalıştırılabilir	[çalıştır, ##ılabilir]
oldbooks	128k	kapkara	[kapkara]
oldbooks	128k	Ankara'ya	[Ankara, ', ya]
oldbooks	128k	Ankara'dan	[Ankara, ', dan]
oldbooks	128k	Ankara'da	[Ankara, ', da]
oldbooks	128k	1923'te	[1923, ', te]
minimal	2k	ev	[ev]
minimal	2k	evim	[ev, ##im]
minimal	2k	evlerimiz	[ev, ##leri, ##mi, ##z]
minimal	2k	evde	[ev, ##de]
minimal	2k	evden	[ev, ##den]
minimal	2k	evdeki	[ev, ##deki]
minimal	2k	evdekiler	[ev, ##deki, ##ler]
minimal	2k	okudum	[oku, ##dum]
minimal	2k	okudu	[oku, ##du]
minimal	2k	okumak	[oku, ##mak]
minimal	2k	okuma	[oku, ##ma]
minimal	2k	okudum	[oku, ##dum]
minimal	2k	okudular	[oku, ##du, ##lar]
minimal	2k	okuduklarımız	[oku, ##duk, ##larımız]
minimal	2k	okumadım	[oku, ##madı, ##m]
minimal	2k	evlerimiz	[ev, ##leri, ##mi, ##z]
minimal	2k	evimiz	[ev, ##imiz]
minimal	2k	evimizdeki	[ev, ##imiz, ##deki]
minimal	2k	evleriniz	[ev, ##lerini, ##z]
minimal	2k	evlerimizden	[ev, ##leri, ##mi, ##z, ##den]
minimal	2k	kitapçılardan	[kitap, ##çı, ##lardan]
minimal	2k	gelmeyeceksiniz	[gel, ##meye, ##cek, ##siniz]
minimal	2k	yazdırılmayacakmışsınız	[yaz, ##dır, ##ıl, ##maya, ##cak, ##mış, ##sınız]
minimal	2k	demokrasileştirmenin	[de, ##m, ##okr, ##as, ##ile, ##ş, ##tir, ##men, ##in]
minimal	2k	Ankara’dan	[Ankara, [UNK], dan]
minimal	2k	İstanbul'uyla	[İstanbul, ', uy, ##la]
minimal	2k	İstanbul'a	[İstanbul, ', a]
minimal	2k	İstanbul'da	[İstanbul, ', da]
minimal	2k	İstanbul'dan	[İstanbul, ', dan]
minimal	2k	görülebilirdi	[görül, ##ebilir, ##di]
minimal	2k	çalıştırılabilir	[çalış, ##tır, ##ıla, ##bilir]
minimal	2k	kapkara	[kap, ##ka, ##ra]
minimal	2k	Ankara'ya	[Ankara, ', ya]
minimal	2k	Ankara'dan	[Ankara, ', dan]
minimal	2k	Ankara'da	[Ankara, ', da]
minimal	2k	1923'te	[19, ##2, ##3, ', te]
minimal	5k	ev	[ev]
minimal	5k	evim	[ev, ##im]
minimal	5k	evlerimiz	[ev, ##lerimiz]
minimal	5k	evde	[evde]
minimal	5k	evden	[evde, ##n]
minimal	5k	evdeki	[evde, ##ki]
minimal	5k	evdekiler	[evde, ##kiler]
minimal	5k	okudum	[oku, ##dum]
minimal	5k	okudu	[oku, ##du]
minimal	5k	okumak	[oku, ##mak]
minimal	5k	okuma	[oku, ##ma]
minimal	5k	okudum	[oku, ##dum]
minimal	5k	okudular	[oku, ##dul, ##ar]
minimal	5k	okuduklarımız	[oku, ##duk, ##larımız]
minimal	5k	okumadım	[oku, ##madım]
minimal	5k	evlerimiz	[ev, ##lerimiz]
minimal	5k	evimiz	[ev, ##imiz]
minimal	5k	evimizdeki	[ev, ##imizde, ##ki]
minimal	5k	evleriniz	[ev, ##lerini, ##z]
minimal	5k	evlerimizden	[ev, ##lerimiz, ##den]
minimal	5k	kitapçılardan	[kitap, ##çı, ##lardan]
minimal	5k	gelmeyeceksiniz	[gel, ##meyecek, ##siniz]
minimal	5k	yazdırılmayacakmışsınız	[yaz, ##dır, ##ılma, ##yacak, ##mış, ##sınız]
minimal	5k	demokrasileştirmenin	[demokr, ##asi, ##leştir, ##menin]
minimal	5k	Ankara’dan	[Ankara, [UNK], dan]
minimal	5k	İstanbul'uyla	[İstanbul, ', uy, ##la]
minimal	5k	İstanbul'a	[İstanbul, ', a]
minimal	5k	İstanbul'da	[İstanbul, ', da]
minimal	5k	İstanbul'dan	[İstanbul, ', dan]
minimal	5k	görülebilirdi	[görül, ##ebilir, ##di]
minimal	5k	çalıştırılabilir	[çalış, ##tır, ##ılabilir]
minimal	5k	kapkara	[kap, ##kar, ##a]
minimal	5k	Ankara'ya	[Ankara, ', ya]
minimal	5k	Ankara'dan	[Ankara, ', dan]
minimal	5k	Ankara'da	[Ankara, ', da]
minimal	5k	1923'te	[19, ##2, ##3, ', te]
minimal	10k	ev	[ev]
minimal	10k	evim	[evi, ##m]
minimal	10k	evlerimiz	[ev, ##lerimiz]
minimal	10k	evde	[evde]
minimal	10k	evden	[evden]
minimal	10k	evdeki	[evde, ##ki]
minimal	10k	evdekiler	[evde, ##kiler]
minimal	10k	okudum	[oku, ##dum]
minimal	10k	okudu	[oku, ##du]
minimal	10k	okumak	[okumak]
minimal	10k	okuma	[okuma]
minimal	10k	okudum	[oku, ##dum]
minimal	10k	okudular	[oku, ##dular]
minimal	10k	okuduklarımız	[oku, ##dukları, ##mız]
minimal	10k	okumadım	[okuma, ##dım]
minimal	10k	evlerimiz	[ev, ##lerimiz]
minimal	10k	evimiz	[evi, ##mi, ##z]
minimal	10k	evimizdeki	[evi, ##mi, ##z, ##deki]
minimal	10k	evleriniz	[ev, ##leriniz]
minimal	10k	evlerimizden	[ev, ##lerimiz, ##den]
minimal	10k	kitapçılardan	[kitap, ##çılar, ##dan]
minimal	10k	gelmeyeceksiniz	[gelmeye, ##cek, ##siniz]
minimal	10k	yazdırılmayacakmışsınız	[yazdı, ##rı, ##l, ##mayacak, ##mış, ##sınız]
minimal	10k	demokrasileştirmenin	[demokrasi, ##leştirme, ##ni, ##n]
minimal	10k	Ankara’dan	[Ankara, [UNK], dan]
minimal	10k	İstanbul'uyla	[İstanbul, ', uy, ##la]
minimal	10k	İstanbul'a	[İstanbul, ', a]
minimal	10k	İstanbul'da	[İstanbul, ', da]
minimal	10k	İstanbul'dan	[İstanbul, ', dan]
minimal	10k	görülebilirdi	[görül, ##ebilir, ##di]
minimal	10k	çalıştırılabilir	[çalıştır, ##ılabilir]
minimal	10k	kapkara	[kap, ##kar, ##a]
minimal	10k	Ankara'ya	[Ankara, ', ya]
minimal	10k	Ankara'dan	[Ankara, ', dan]
minimal	10k	Ankara'da	[Ankara, ', da]
minimal	10k	1923'te	[192, ##3, ', te]
minimal	20k	ev	[ev]
minimal	20k	evim	[evi, ##m]
minimal	20k	evlerimiz	[evleri, ##mi, ##z]
minimal	20k	evde	[evde]
minimal	20k	evden	[evden]
minimal	20k	evdeki	[evde, ##ki]
minimal	20k	evdekiler	[evde, ##kiler]
minimal	20k	okudum	[okudum]
minimal	20k	okudu	[okudu]
minimal	20k	okumak	[okumak]
minimal	20k	okuma	[okuma]
minimal	20k	okudum	[okudum]
minimal	20k	okudular	[okudu, ##lar]
minimal	20k	okuduklarımız	[okudu, ##k, ##larımız]
minimal	20k	okumadım	[okuma, ##dım]
minimal	20k	evlerimiz	[evleri, ##mi, ##z]
minimal	20k	evimiz	[evi, ##mi, ##z]
minimal	20k	evimizdeki	[evi, ##mi, ##z, ##deki]
minimal	20k	evleriniz	[evlerin, ##iz]
minimal	20k	evlerimizden	[evleri, ##mi, ##z, ##den]
minimal	20k	kitapçılardan	[kitap, ##çılar, ##dan]
minimal	20k	gelmeyeceksiniz	[gelmeye, ##cek, ##siniz]
minimal	20k	yazdırılmayacakmışsınız	[yazdır, ##ılmaya, ##cak, ##mış, ##sınız]
minimal	20k	demokrasileştirmenin	[demokrasi, ##leştirme, ##nin]
minimal	20k	Ankara’dan	[Ankara, [UNK], dan]
minimal	20k	İstanbul'uyla	[İstanbul, ', uy, ##la]
minimal	20k	İstanbul'a	[İstanbul, ', a]
minimal	20k	İstanbul'da	[İstanbul, ', da]
minimal	20k	İstanbul'dan	[İstanbul, ', dan]
minimal	20k	görülebilirdi	[görülebilir, ##di]
minimal	20k	çalıştırılabilir	[çalıştır, ##ılabilir]
minimal	20k	kapkara	[kap, ##kar, ##a]
minimal	20k	Ankara'ya	[Ankara, ', ya]
minimal	20k	Ankara'dan	[Ankara, ', dan]
minimal	20k	Ankara'da	[Ankara, ', da]
minimal	20k	1923'te	[1923, ', te]
minimal	32k	ev	[ev]
minimal	32k	evim	[evim]
minimal	32k	evlerimiz	[evleri, ##mi, ##z]
minimal	32k	evde	[evde]
minimal	32k	evden	[evden]
minimal	32k	evdeki	[evdeki]
minimal	32k	evdekiler	[evdeki, ##ler]
minimal	32k	okudum	[okudum]
minimal	32k	okudu	[okudu]
minimal	32k	okumak	[okumak]
minimal	32k	okuma	[okuma]
minimal	32k	okudum	[okudum]
minimal	32k	okudular	[okudu, ##lar]
minimal	32k	okuduklarımız	[okuduk, ##larımız]
minimal	32k	okumadım	[okuma, ##dım]
minimal	32k	evlerimiz	[evleri, ##mi, ##z]
minimal	32k	evimiz	[evim, ##iz]
minimal	32k	evimizdeki	[evim, ##izde, ##ki]
minimal	32k	evleriniz	[evlerini, ##z]
minimal	32k	evlerimizden	[evleri, ##mi, ##z, ##den]
minimal	32k	kitapçılardan	[kitapçı, ##lardan]
